0,1,2,3
0.44,0.8,0.86,0.28450303198202354
0.86,0.84,0.59,0.20831255579154737
0.37,0.4,0.86,0.22077754178594514
0.14,0.8,0.88,0.2845030319820236
0.41,0.42,0.39,0.20831255579154737
0.66,0.84,0.46,0.24402684150583312
0.63,0.93,0.69,0.2916458891248807
0.97,0.59,0.07,0.2848431680364453
0.51,0.53,0.56,0.20831255579154737
0.19,0.46,0.38,0.29549204297103454
0.86,0.45,0.9,0.16419490873272385
0.45,0.83,0.16,0.27918090313048294
0.96,0.16,0.14,0.16521069966448118
0.01,0.74,0.91,0.2845030319820236
0.72,0.81,0.94,0.20831255579154737
0.12,0.76,0.42,0.2996937236433035
0.25,0.57,0.97,0.24878874626773784
0.61,0.62,0.28,0.25116969864869026
0.68,0.12,0.18,0.169056853510635
0.39,0.19,0.75,0.15625173146181548
0.1,0.39,0.7,0.24878874626773786
0.68,0.9,0.3,0.27918090313048294
0.03,0.64,0.04,0.27588419983377965
0.96,0.96,0.03,0.2995890663957891
0.08,0.37,0.78,0.20036937852063902
0.22,0.95,0.63,0.29549204297103454
0.55,0.21,0.62,0.16419490873272385
0.7,0.15,0.36,0.14864869024532887
0.17,1.0,0.63,0.29549204297103454
0.12,0.83,0.66,0.29549204297103454
0.96,0.25,0.09,0.1761997106534922
0.85,0.97,0.7,0.26783636531535693
0.28,0.78,0.73,0.28450303198202354
0.5,0.22,0.99,0.15625173146181548
0.87,0.94,0.41,0.25116969864869026
0.08,0.48,0.69,0.24878874626773786
0.21,0.45,0.65,0.24878874626773784
0.33,0.54,0.28,0.26783636531535693
0.78,0.38,0.38,0.1927663373041524
0.83,0.2,0.15,0.1761997106534922
0.04,1.0,0.5,0.2996937236433035
0.08,0.7,0.88,0.2845030319820236
0.7,0.78,0.45,0.24402684150583312
0.84,0.51,0.37,0.21545541293440454
0.67,0.83,0.48,0.25116969864869026
0.72,0.17,0.31,0.14864869024532887
0.93,0.26,0.56,0.14864869024532887
0.18,0.55,0.61,0.30831255579154737
0.04,0.32,1.0,0.189024840705513
0.78,0.31,0.85,0.16419490873272385
0.89,0.34,0.4,0.1570520515898667
0.2,0.57,0.59,0.28450303198202354
0.31,0.72,0.54,0.29549204297103454
0.13,0.35,0.53,0.24878874626773784
0.7,0.79,0.29,0.27497922245821405
0.66,0.36,0.3,0.21545541293440454
0.44,0.38,0.36,0.20831255579154737
0.54,0.56,0.74,0.20831255579154737
0.01,0.73,0.64,0.3026349001138917
0.84,0.8,0.18,0.25537137932095916
0.75,0.59,0.35,0.21545541293440454
0.62,0.82,0.69,0.26783636531535693
0.48,0.27,0.49,0.19990919444700955
0.11,0.92,0.64,0.29549204297103454
0.26,0.2,0.63,0.1604534121340844
0.03,0.43,0.79,0.24878874626773786
0.32,0.12,0.41,0.15999322806045493
0.91,0.99,0.13,0.27918090313048294
0.35,0.44,0.49,0.24402684150583312
0.97,0.09,0.14,0.1376596792563179
0.26,0.37,0.32,0.26783636531535693
0.41,0.63,0.15,0.27918090313048294
0.58,0.84,0.88,0.2916458891248807
0.24,0.69,0.7,0.28450303198202354
0.66,0.67,0.9,0.20831255579154737
0.86,0.82,0.93,0.20831255579154737
0.5,0.05,0.73,0.1172515159910118
0.16,0.92,0.24,0.27588419983377965
0.44,0.46,0.22,0.25116969864869026
0.12,0.63,0.66,0.2845030319820236
